age,income,spend
22,,24506.5
58,51372.8,20916.68
52,58711.66,22639.55
40,49148.25,26220.88
40,47443.89,13524.11
62,38307.76,27024.47
22,56454.52,9015.98
54,37226.94,22626.94
28,59983.78,21429.93
22,66279.31,15069.66
45,55497.97,19818.52
68,45706.27,15019.68
56,,11426.39
57,45369.9,17171.08
55,64033.21,11168.09
58,22528.91,22582.38
44,44965.89,10799.32
24,20137.82,25695.82
61,27574.09,10548.17
41,70457.93,15469.64
44,63427.77,15003.17
37,39207.8,30601.17
27,27462.45,22642.32
66,5532.07,18306.13
58,41847.57,23989.76
51,86306.23,3142.46
38,56523.26,19654.93
60,41606.42,35980.11
46,56976.2,21058.77
41,26585.62,20543.31
41,45540.15,24385.03
29,51492.16,27164.84
22,48708.49,4020.27
46,61862.09,6541.39
64,55169.68,21682.33
21,60024.89,14280.99
62,39674.42,30496.2
61,63467.23,17478.6
32,74434.05,4523.75
50,35447.76,9855.89
26,36684.57,-1997.41
57,70036.77,18127.0
54,47129.84,18492.93
36,71057.32,16604.3
21,43361.96,28631.03
68,71825.68,29588.16
41,51972.29,18636.89
64,53873.43,2922.45
53,73470.77,24938.25
58,44573.44,24442.88
57,35883.17,22475.13
28,43271.54,27851.84
36,56785.01,10681.38
42,26513.61,36070.04
43,59562.06,12324.58
20,41918.43,25993.78
46,67217.19,6501.22
26,14086.1,12557.88
56,38201.51,32130.95
53,24702.98,17912.8
65,37606.56,26719.38
56,53714.99,21895.64
37,47311.6,19160.33
68,46199.34,30910.8
39,47612.23,18106.73
34,53050.82,5754.1
65,34871.96,13574.08
37,60602.74,24409.53
21,59939.99,23164.07
42,55775.57,7463.53
59,58348.0,14205.26
27,54446.27,15346.23
42,80526.1,17076.24
24,48693.59,8992.69
53,45393.75,14973.03
42,38697.09,14171.12
35,34516.06,26172.27
29,31332.92,26472.97
47,36668.04,18833.52
52,48939.79,16863.68
66,55014.43,21119.39
40,50767.13,13467.4
26,38516.97,10825.34
61,63502.77,12478.23
50,61091.19,14921.49
54,47605.28,10692.21
23,40206.26,21296.48
34,58226.42,25837.73
57,52819.6,7303.21
61,28278.09,20201.03
40,48980.3,18240.51
59,53930.54,22732.07
61,36504.58,19896.49
38,52847.65,8371.21
64,28177.66,9900.89
32,70042.79,20235.39
30,68719.25,28230.25
53,46212.24,2286.5
51,55451.82,22765.81
25,13851.17,29516.98
61,32654.79,18775.79
28,45593.32,24401.62
59,33918.0,14375.45
18,60715.95,19045.07
59,79959.45,7032.69
58,32350.78,1245.25
58,37438.05,27542.13
52,53531.73,12120.04
42,74166.74,16355.78
54,31664.39,8908.46
32,53735.54,8720.24
58,77319.48,18609.3
46,25223.61,14163.38
41,30783.96,23023.77
44,43645.9,23620.31
47,42191.17,22566.8
19,62189.02,21908.81
25,53624.9,32622.15
30,23375.57,11459.25
23,57731.16,19560.52
40,41336.92,29061.52
52,69116.71,30116.32
52,40586.19,8625.89
42,40450.77,17501.16
62,58116.97,30864.97
47,61443.9,24064.63
22,56721.49,21562.1
57,24716.04,18258.52
47,58070.52,16929.59
51,34485.38,22305.75
47,53529.14,17981.01
46,28643.98,19659.37
22,56694.83,20628.79
47,37901.02,14575.43
59,30760.48,24257.03
33,60707.3,43313.96
49,53624.67,5784.11
19,,22592.1
36,71767.68,13918.48
40,43390.21,24619.22
69,50481.62,20372.46
29,54033.7,26094.84
32,40705.01,29404.05
39,,21539.37
69,41998.21,29056.42
62,43825.43,1245.62
19,70439.64,32723.62
30,34391.21,23000.5
60,13808.3,28622.75
21,74164.05,10240.99
62,88239.92,13353.84
32,43920.96,21167.51
65,20947.43,19863.7
33,45342.74,22264.55
40,45706.66,28676.12
52,47151.14,5878.24
24,33299.18,27790.55
46,58693.42,20066.26
44,57867.61,18369.75
58,27583.92,8231.08
69,60487.95,24024.39
52,80790.27,687.14
39,52579.4,25187.15
39,44940.12,8063.15
39,47869.95,20427.66
60,59228.85,19046.65
34,24039.93,29356.31
26,52465.86,18570.76
35,44143.04,14446.89
19,77717.38,15947.18
23,47387.41,30183.06
22,75018.31,24290.38
58,33443.89,16914.96
55,58808.89,18108.43
54,,7462.58
42,36964.29,23107.79
55,52660.94,5921.47
26,68187.78,26014.37
64,45143.12,21028.97
44,24620.56,39095.61
66,49736.56,11198.92
25,36463.65,19178.7
43,44864.89,34386.3
54,48776.18,29531.12
43,24415.22,14430.3
41,25765.12,21791.74
26,57231.0,20015.99
37,42159.22,22255.65
30,11528.83,14410.56
33,61772.66,19285.44
53,54085.55,7215.58
50,39291.88,21080.99
49,30247.55,23600.17
36,62537.12,18180.64
67,55240.26,7079.59
22,85739.03,27908.25
35,56302.83,22916.2
24,55815.55,14191.88
35,47496.08,17755.2
68,62251.64,7994.64
37,59376.28,11796.72
65,68775.88,15697.51
43,42180.16,29827.37
54,43468.89,14883.97
41,42813.45,25121.71
31,61862.03,15693.47
57,72475.62,21983.58
68,43117.39,18868.84
31,43628.39,26984.45
58,54711.16,15721.51
31,46313.58,7419.77
55,64280.8,8944.41
59,16223.34,15744.98
41,37599.42,10007.52
56,38263.75,23281.7
32,15194.66,16273.85
22,35545.42,38996.85
23,36272.66,6098.28
41,46983.43,21629.07
64,66694.49,10976.38
24,46324.09,16052.79
41,34537.79,21131.36
54,49145.68,1397.03
28,65737.6,21894.61
55,35360.62,35223.26
33,36341.38,16372.49
60,58378.23,22078.46
48,46676.96,28199.37
46,59712.27,18688.37
27,49795.3,15352.32
42,60524.95,1794.11
62,34473.83,25127.93
19,49818.73,19094.65
57,46839.65,11898.53
43,31761.64,21012.77
55,26547.83,15330.56
52,60286.24,15772.59
40,44735.71,24850.33
34,34665.8,9292.94
50,48557.32,28378.52
25,66920.28,8818.51
48,15788.93,14698.39
22,27550.42,35383.57
51,36156.7,29018.84
50,71917.68,20780.83
22,54238.8,12475.76
57,61509.76,15765.82
39,32897.59,20586.2
58,33206.96,20300.19
20,,19273.03
27,50874.11,19753.34
43,58231.08,18285.0
27,47184.94,8464.17
35,54172.16,15867.91
52,52371.79,27316.99
25,61666.51,9053.33
53,62105.12,18483.56
23,25701.92,13441.97
27,16290.97,20890.8
48,65026.18,16890.93
59,67815.88,31819.15
26,34690.65,24052.67
33,22102.47,9505.57
66,51485.52,25369.82
69,63962.57,13802.79
48,76963.92,15384.03
41,57744.46,22510.55
36,44424.25,16066.02
49,36603.04,27142.85
48,50171.77,13803.92
33,45511.03,15048.43
19,34773.98,14749.03
25,80731.33,15474.89
67,76777.53,28793.53
39,67040.73,25030.37
43,36187.24,33679.55
42,62825.29,38141.15
58,59594.4,11754.26
21,56638.18,20563.35
22,68744.98,10590.4
32,59530.57,13779.15
43,61100.21,14959.34
52,59553.59,11542.76
43,55111.87,11584.9
40,23245.83,18845.72
66,51254.32,10266.25
26,41657.12,26737.02
47,30802.39,12657.97
46,75227.25,42476.55
42,75934.93,16388.92
59,70388.31,20576.14
31,53828.2,9637.27
67,70259.38,33648.73
35,50180.8,28956.01
46,53041.96,22375.33
45,33597.93,9225.58
62,55954.87,21685.34
40,50905.79,11028.55
32,30460.22,31698.84
19,49232.04,26473.56
36,48804.06,20763.51
60,76963.42,508.99
18,63413.2,12132.67
64,50171.68,25502.09
46,53731.81,29703.07
25,50663.19,28873.36
33,46956.29,7263.9
46,33763.59,22412.42
34,47734.22,28124.12
23,38808.53,6733.32
